Solved,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
N,MEDIUM,Group Shifted Strings,35.4,0.673782383890107,https://leetcode.com/problems/group-shifted-strings,"Array, Hash Table, String"
N,HARD,Word Search II,34.7,0.3732633211647155,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
N,MEDIUM,Binary Tree Right Side View,34.7,0.6704254068229247,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
N,MEDIUM,Subsets II,34.7,0.595072748658621,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
N,HARD,The Skyline Problem,33.2,0.4396233271583687,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
N,EASY,Implement Stack using Queues,33.2,0.6733897915056893,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
N,MEDIUM,Best Time to Buy and Sell Stock with Cooldown,33.2,0.6039720911326697,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
N,EASY,Missing Ranges,32.4,0.3526494595509856,https://leetcode.com/problems/missing-ranges,Array
N,MEDIUM,Graph Valid Tree,32.4,0.4933560205084969,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
N,MEDIUM,Second Highest Salary,31.5,0.4386508095849322,https://leetcode.com/problems/second-highest-salary,Database
N,MEDIUM,Basic Calculator II,30.6,0.4581129812287864,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
N,MEDIUM,Game of Life,30.6,0.7141499668480139,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
N,MEDIUM,Fraction to Recurring Decimal,30.6,0.2622353839768554,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
N,HARD,Number of Digit One,30.6,0.3599159436598703,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion"
N,MEDIUM,Walls and Gates,29.6,0.6296791509568449,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
N,EASY,Binary Tree Paths,29.6,0.6656317661585257,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
N,MEDIUM,Wiggle Sort,27.5,0.6822006472491909,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
N,HARD,Best Time to Buy and Sell Stock IV,27.5,0.47086154391046825,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
N,MEDIUM,3Sum Smaller,27.5,0.5098856904205789,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
N,MEDIUM,Combinations,26.4,0.7289648238875795,https://leetcode.com/problems/combinations,Backtracking
N,MEDIUM,Lowest Common Ancestor of a Binary Search Tree,26.4,0.6831069193376744,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
N,HARD,Read N Characters Given read4 II - Call Multiple Times,26.4,0.42905969922527715,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
N,MEDIUM,Paint Fence,25.1,0.47743696617961495,https://leetcode.com/problems/paint-fence,Dynamic Programming
N,MEDIUM,Longest Substring with At Most Two Distinct Characters,25.1,0.5647336891491908,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
N,EASY,Flip Game,25.1,0.648810474885,https://leetcode.com/problems/flip-game,String
N,EASY,Binary Tree Postorder Traversal,25.1,0.757410545581066,https://leetcode.com/problems/binary-tree-postorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
N,EASY,Strobogrammatic Number,25.1,0.47603050487498794,https://leetcode.com/problems/strobogrammatic-number,"Hash Table, Two Pointers, String"
N,MEDIUM,Zigzag Iterator,25.1,0.6575715893460048,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
N,MEDIUM,Spiral Matrix II,23.8,0.734312719680276,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
N,MEDIUM,Peeking Iterator,23.8,0.6034819530757167,https://leetcode.com/problems/peeking-iterator,"Array, Design, Iterator"
N,HARD,Department Top Three Salaries,23.8,0.5777086770789912,https://leetcode.com/problems/department-top-three-salaries,Database
N,HARD,Closest Binary Search Tree Value II,23.8,0.6026240281377268,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
N,MEDIUM,Flatten 2D Vector,23.8,0.5013489435679918,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
N,MEDIUM,Unique Word Abbreviation,22.3,0.2705393583975261,https://leetcode.com/problems/unique-word-abbreviation,"Array, Hash Table, String, Design"
N,MEDIUM,Flip Game II,22.3,0.5222630055763394,https://leetcode.com/problems/flip-game-ii,"Math, Dynamic Programming, Backtracking, Memoization, Game Theory"
N,EASY,Palindrome Permutation,22.3,0.6850934894703868,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
N,HARD,Scramble String,20.8,0.4218190083551487,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
N,MEDIUM,Insertion Sort List,20.8,0.5645710379999737,https://leetcode.com/problems/insertion-sort-list,"Linked List, Sorting"
N,MEDIUM,Factorial Trailing Zeroes,20.8,0.44855607897526645,https://leetcode.com/problems/factorial-trailing-zeroes,Math
N,MEDIUM,Remove Duplicates from Sorted List II,20.8,0.4989080936318432,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
N,MEDIUM,Populating Next Right Pointers in Each Node,19.0,0.6544147769490073,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
N,EASY,Word Pattern,19.0,0.430607261173072,https://leetcode.com/problems/word-pattern,"Hash Table, String"
N,HARD,N-Queens II,19.0,0.7672955295381376,https://leetcode.com/problems/n-queens-ii,Backtracking
N,EASY,Minimum Depth of Binary Tree,19.0,0.506666811649461,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
N,MEDIUM,Bitwise AND of Numbers Range,17.1,0.47740039754558805,https://leetcode.com/problems/bitwise-and-of-numbers-range,Bit Manipulation
N,MEDIUM,Rank Scores,14.9,0.6530068484300299,https://leetcode.com/problems/rank-scores,Database
N,HARD,Valid Number,12.5,0.21563512503115395,https://leetcode.com/problems/valid-number,String
N,EASY,Read N Characters Given Read4,12.5,0.42259021183649126,https://leetcode.com/problems/read-n-characters-given-read4,"Array, Simulation, Interactive"
N,MEDIUM,Gray Code,12.5,0.6187231456205623,https://leetcode.com/problems/gray-code,"Math, Backtracking, Bit Manipulation"
N,HARD,Remove Invalid Parentheses,12.5,0.4923157435133604,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
N,HARD,Find Minimum in Rotated Sorted Array II,12.5,0.44113538563389604,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,"Array, Binary Search"
N,MEDIUM,Find the Celebrity,9.8,0.48438403563355176,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
N,MEDIUM,Range Sum Query - Mutable,5.0,0.41704285642479577,https://leetcode.com/problems/range-sum-query-mutable,"Array, Design, Binary Indexed Tree, Segment Tree"
N,MEDIUM,Binary Tree Level Order Traversal II,5.0,0.6600794078073927,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,"Tree, Breadth-First Search, Binary Tree"
N,MEDIUM,Paint House,5.0,0.6373080782394743,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
